0 1 2
0 2 2
0 3 1
0 8 5
0 9 2
0 10 1
0 15 1
0 17 2
0 24 1
0 34 1
0 39 1
0 41 1
0 43 1
0 71 1
0 90 2
0 91 1
0 92 4
0 110 1
1 2 1
1 4 8
1 8 3
1 9 1
1 14 3
1 17 1
1 19 10
1 22 2
1 28 1
1 29 2
1 39 2
1 51 1
1 81 1
1 87 2
1 91 2
1 92 12
1 100 3
1 104 1
1 117 1
2 3 3
2 4 9
2 7 1
2 8 2
2 9 4
2 10 1
2 15 4
2 16 3
2 17 8
2 22 1
2 24 5
2 26 5
2 28 3
2 29 4
2 33 7
2 39 6
2 43 3
2 51 4
2 57 4
2 64 4
2 65 3
2 66 1
2 67 1
2 71 2
2 72 1
2 78 1
2 86 3
2 88 7
2 89 1
2 90 8
2 91 3
2 92 1
2 102 1
2 104 1
2 110 1
2 116 1
2 117 5
2 118 1
2 129 1
3 9 2
3 10 2
3 11 1
3 33 2
3 90 2
3 91 3
4 9 1
4 14 5
4 16 4
4 17 8
4 19 1
4 22 3
4 24 1
4 25 1
4 26 1
4 28 15
4 29 4
4 39 20
4 43 3
4 44 6
4 51 2
4 52 2
4 64 3
4 71 7
4 72 1
4 78 3
4 86 1
4 99 1
4 100 1
4 104 1
4 116 1
4 117 4
4 118 4
5 8 1
5 22 1
8 11 2
8 12 2
8 17 2
8 19 1
8 24 5
8 29 1
8 35 1
8 45 1
8 46 1
8 49 1
8 60 6
8 87 3
8 90 1
8 91 1
8 92 16
8 97 1
8 100 3
8 110 2
8 118 1
8 119 1
8 127 1
9 11 1
9 12 1
9 14 2
9 15 1
9 17 3
9 19 7
9 29 2
9 33 8
9 41 1
9 49 1
9 54 1
9 64 1
9 71 1
9 87 3
9 91 2
9 92 2
9 100 2
9 109 1
10 33 1
10 40 1
10 100 1
10 124 3
11 12 4
11 33 1
11 45 1
11 49 5
12 39 2
12 49 4
12 103 1
13 48 4
14 15 2
14 17 2
14 28 3
14 33 2
14 39 11
14 52 2
14 58 1
14 78 1
14 91 1
14 96 1
14 109 1
15 16 2
15 17 2
15 19 1
15 31 1
15 33 4
15 39 1
15 65 2
15 76 1
15 116 1
16 29 1
16 33 1
16 41 1
16 43 3
16 44 3
16 71 2
16 82 2
16 84 2
16 85 1
17 19 2
17 26 1
17 29 5
17 33 1
17 43 1
17 51 1
17 52 3
17 57 1
17 66 1
17 71 1
17 78 2
17 88 1
17 91 1
17 92 2
17 99 1
17 110 1
17 117 1
17 118 1
19 76 4
19 87 6
19 92 2
19 100 5
19 115 1
21 96 1
22 23 1
22 24 1
22 26 1
22 29 3
22 39 2
22 41 2
22 43 2
22 50 1
22 57 1
22 60 1
22 64 1
22 78 3
22 87 1
22 91 3
22 118 1
23 61 1
23 100 1
24 43 2
24 46 1
24 60 1
24 88 1
24 90 2
26 43 1
26 57 1
26 91 1
27 116 1
28 39 15
28 52 1
28 64 9
28 71 2
28 72 2
28 78 1
28 91 2
28 117 3
28 118 4
29 33 1
29 39 1
29 43 1
29 51 1
29 57 2
29 88 1
29 104 2
31 33 4
31 91 1
33 39 1
33 41 1
33 66 15
33 87 1
33 91 2
33 109 2
33 110 1
34 41 1
35 60 4
35 98 1
35 105 7
38 83 1
38 84 1
38 85 1
39 51 1
39 52 3
39 57 3
39 64 3
39 65 1
39 72 1
39 78 3
39 86 1
39 91 1
39 96 1
39 110 1
39 116 1
39 118 2
40 124 1
41 57 1
43 57 1
43 71 2
43 86 2
43 87 1
43 92 1
43 99 1
43 100 1
44 71 1
44 116 1
44 117 4
46 61 4
48 53 1
51 57 5
51 65 1
51 117 11
52 58 1
52 72 1
52 81 1
52 82 1
52 91 1
52 102 1
52 120 1
57 127 1
58 104 1
60 97 1
60 100 1
64 71 1
64 91 1
64 117 6
64 118 1
65 88 1
71 96 1
71 117 2
72 91 1
76 100 2
81 82 3
81 83 1
81 84 1
81 85 1
81 94 5
81 120 3
82 84 1
82 94 2
83 84 4
83 85 1
84 94 3
85 94 1
86 88 1
87 90 1
87 92 8
87 100 4
87 115 2
88 90 7
88 104 1
89 90 2
89 91 1
91 92 1
92 100 10
92 110 1
94 120 1
97 100 1
116 117 3
116 118 3
117 118 1
